0, 1890 MHz, 6800 MHz, 86.38 W, 55
1, 1905 MHz, 6800 MHz, 104.52 W, 51
2, 1890 MHz, 6800 MHz, 107.17 W, 56
3, 1875 MHz, 6800 MHz, 95.47 W, 57
0, 1890 MHz, 6800 MHz, 184.50 W, 58
1, 1905 MHz, 6800 MHz, 199.65 W, 55
2, 1890 MHz, 6800 MHz, 207.47 W, 59
3, 1860 MHz, 6800 MHz, 198.37 W, 61
0, 1875 MHz, 6800 MHz, 183.84 W, 59
1, 1890 MHz, 6800 MHz, 199.47 W, 56
2, 1875 MHz, 6800 MHz, 203.10 W, 59
3, 1860 MHz, 6800 MHz, 193.98 W, 62
0, 1875 MHz, 6800 MHz, 104.19 W, 57
1, 1890 MHz, 6800 MHz, 119.71 W, 54
2, 1875 MHz, 6800 MHz, 125.30 W, 57
3, 1860 MHz, 6800 MHz, 113.69 W, 60
0, 1875 MHz, 6800 MHz, 85.70 W, 56
1, 1890 MHz, 6800 MHz, 104.76 W, 53
2, 1875 MHz, 6800 MHz, 106.55 W, 57
3, 1860 MHz, 6800 MHz, 114.69 W, 59
0, 1875 MHz, 6800 MHz, 197.83 W, 61
1, 1890 MHz, 6800 MHz, 204.46 W, 58
2, 1875 MHz, 6800 MHz, 211.31 W, 61
3, 1860 MHz, 6800 MHz, 202.69 W, 64
0, 1875 MHz, 6800 MHz, 198.58 W, 61
1, 1890 MHz, 6800 MHz, 204.89 W, 58
2, 1875 MHz, 6800 MHz, 211.77 W, 62
3, 1860 MHz, 6800 MHz, 202.16 W, 65
0, 1875 MHz, 6800 MHz, 198.47 W, 60
1, 1890 MHz, 6800 MHz, 171.70 W, 57
2, 1875 MHz, 6800 MHz, 212.06 W, 60
3, 1860 MHz, 6800 MHz, 203.45 W, 63
0, 1875 MHz, 6800 MHz, 87.15 W, 57
1, 1890 MHz, 6800 MHz, 105.89 W, 54
2, 1875 MHz, 6800 MHz, 109.14 W, 58
3, 1860 MHz, 6800 MHz, 95.34 W, 60
0, 1875 MHz, 6800 MHz, 187.33 W, 61
1, 1890 MHz, 6800 MHz, 204.06 W, 58
2, 1875 MHz, 6800 MHz, 210.62 W, 61
3, 1860 MHz, 6800 MHz, 198.83 W, 64
0, 1875 MHz, 6800 MHz, 187.84 W, 61
1, 1890 MHz, 6800 MHz, 199.38 W, 58
2, 1875 MHz, 6800 MHz, 210.16 W, 62
3, 1860 MHz, 6800 MHz, 199.73 W, 65
0, 1875 MHz, 6800 MHz, 121.53 W, 61
1, 1890 MHz, 6800 MHz, 122.33 W, 58
2, 1875 MHz, 6800 MHz, 155.68 W, 62
3, 1860 MHz, 6800 MHz, 170.60 W, 64
0, 1875 MHz, 6800 MHz, 187.30 W, 60
1, 1890 MHz, 6800 MHz, 115.43 W, 58
2, 1875 MHz, 6800 MHz, 185.44 W, 61
3, 1860 MHz, 6800 MHz, 146.66 W, 64
0, 1875 MHz, 6800 MHz, 190.28 W, 62
1, 1890 MHz, 6800 MHz, 205.82 W, 60
2, 1875 MHz, 6800 MHz, 199.82 W, 62
3, 1845 MHz, 6800 MHz, 201.01 W, 65
0, 1875 MHz, 6800 MHz, 189.40 W, 62
1, 1875 MHz, 6800 MHz, 207.08 W, 60
2, 1875 MHz, 6800 MHz, 213.52 W, 63
3, 1845 MHz, 6800 MHz, 199.50 W, 66
0, 1875 MHz, 6800 MHz, 191.49 W, 63
1, 1875 MHz, 6800 MHz, 205.76 W, 60
2, 1875 MHz, 6800 MHz, 211.43 W, 64
3, 1845 MHz, 6800 MHz, 199.53 W, 66
0, 1875 MHz, 6800 MHz, 191.93 W, 63
1, 1875 MHz, 6800 MHz, 205.29 W, 60
2, 1875 MHz, 6800 MHz, 212.40 W, 64
3, 1845 MHz, 6800 MHz, 201.37 W, 66
0, 1875 MHz, 6800 MHz, 152.95 W, 63
