0, 1875 MHz, 6800 MHz, 85.30 W, 55
1, 1905 MHz, 6800 MHz, 105.39 W, 52
2, 1890 MHz, 6800 MHz, 107.58 W, 56
3, 1875 MHz, 6800 MHz, 94.60 W, 58
0, 1875 MHz, 6800 MHz, 181.43 W, 58
1, 1905 MHz, 6800 MHz, 202.57 W, 55
2, 1890 MHz, 6800 MHz, 208.71 W, 59
3, 1860 MHz, 6800 MHz, 191.43 W, 61
0, 1875 MHz, 6800 MHz, 184.03 W, 59
1, 1890 MHz, 6800 MHz, 205.26 W, 57
2, 1890 MHz, 6800 MHz, 208.25 W, 60
3, 1860 MHz, 6800 MHz, 195.12 W, 63
0, 1875 MHz, 6800 MHz, 95.65 W, 56
1, 1890 MHz, 6800 MHz, 106.09 W, 54
2, 1890 MHz, 6800 MHz, 108.97 W, 57
3, 1860 MHz, 6800 MHz, 96.19 W, 59
0, 1875 MHz, 6800 MHz, 154.28 W, 58
1, 1890 MHz, 6800 MHz, 164.39 W, 55
2, 1890 MHz, 6800 MHz, 171.19 W, 59
3, 1860 MHz, 6800 MHz, 156.76 W, 61
0, 1875 MHz, 6800 MHz, 197.37 W, 61
1, 1890 MHz, 6800 MHz, 206.37 W, 58
2, 1890 MHz, 6800 MHz, 215.36 W, 62
3, 1860 MHz, 6800 MHz, 201.88 W, 64
0, 1875 MHz, 6800 MHz, 191.00 W, 61
1, 1890 MHz, 6800 MHz, 207.74 W, 59
2, 1875 MHz, 6800 MHz, 210.72 W, 62
3, 1860 MHz, 6800 MHz, 202.44 W, 65
0, 1875 MHz, 6800 MHz, 98.14 W, 58
1, 1890 MHz, 6800 MHz, 140.90 W, 56
2, 1875 MHz, 6800 MHz, 136.94 W, 59
3, 1845 MHz, 6800 MHz, 132.93 W, 62
0, 1875 MHz, 6800 MHz, 86.10 W, 57
1, 1890 MHz, 6800 MHz, 105.92 W, 54
2, 1875 MHz, 6800 MHz, 110.28 W, 58
3, 1860 MHz, 6800 MHz, 94.69 W, 60
0, 1875 MHz, 6800 MHz, 186.16 W, 61
1, 1890 MHz, 6800 MHz, 202.88 W, 58
2, 1875 MHz, 6800 MHz, 215.01 W, 62
3, 1860 MHz, 6800 MHz, 197.52 W, 65
0, 1875 MHz, 6800 MHz, 186.84 W, 61
1, 1890 MHz, 6800 MHz, 204.82 W, 59
2, 1875 MHz, 6800 MHz, 214.49 W, 62
3, 1860 MHz, 6800 MHz, 200.11 W, 65
0, 1875 MHz, 6800 MHz, 187.42 W, 61
1, 1890 MHz, 6800 MHz, 207.07 W, 59
2, 1875 MHz, 6800 MHz, 212.94 W, 63
3, 1845 MHz, 6800 MHz, 193.97 W, 65
0, 1875 MHz, 6800 MHz, 176.10 W, 61
1, 1890 MHz, 6800 MHz, 177.31 W, 60
2, 1875 MHz, 6800 MHz, 188.43 W, 63
3, 1845 MHz, 6800 MHz, 165.24 W, 65
0, 1875 MHz, 6800 MHz, 127.17 W, 61
1, 1890 MHz, 6800 MHz, 158.28 W, 59
2, 1875 MHz, 6800 MHz, 170.02 W, 62
3, 1845 MHz, 6800 MHz, 145.14 W, 65
0, 1875 MHz, 6800 MHz, 150.66 W, 61
1, 1890 MHz, 6800 MHz, 183.10 W, 59
2, 1875 MHz, 6800 MHz, 183.29 W, 62
3, 1845 MHz, 6800 MHz, 175.30 W, 64
0, 1860 MHz, 6800 MHz, 188.35 W, 63
1, 1890 MHz, 6800 MHz, 199.49 W, 60
2, 1875 MHz, 6800 MHz, 194.39 W, 63
3, 1845 MHz, 6800 MHz, 193.50 W, 66
0, 1860 MHz, 6800 MHz, 187.22 W, 63
1, 1890 MHz, 6800 MHz, 211.10 W, 61
2, 1875 MHz, 6800 MHz, 212.36 W, 64
3, 1845 MHz, 6800 MHz, 201.25 W, 67
0, 1860 MHz, 6800 MHz, 188.21 W, 63
1, 1890 MHz, 6800 MHz, 211.01 W, 61
2, 1875 MHz, 6800 MHz, 212.33 W, 64
3, 1845 MHz, 6800 MHz, 200.59 W, 67
0, 1860 MHz, 6800 MHz, 185.09 W, 63
1, 1875 MHz, 6800 MHz, 208.98 W, 61
2, 1875 MHz, 6800 MHz, 213.26 W, 64
3, 1845 MHz, 6800 MHz, 200.34 W, 67
0, 1860 MHz, 6800 MHz, 138.07 W, 63
1, 1875 MHz, 6800 MHz, 149.36 W, 61
2, 1875 MHz, 6800 MHz, 158.65 W, 64
3, 1845 MHz, 6800 MHz, 139.46 W, 67
0, 1860 MHz, 6800 MHz, 182.13 W, 63
1, 1875 MHz, 6800 MHz, 211.44 W, 61
2, 1875 MHz, 6800 MHz, 213.29 W, 64
3, 1845 MHz, 6800 MHz, 201.60 W, 66
0, 1860 MHz, 6800 MHz, 189.76 W, 64
1, 1875 MHz, 6800 MHz, 211.05 W, 62
2, 1875 MHz, 6800 MHz, 215.90 W, 65
3, 1845 MHz, 6800 MHz, 204.39 W, 68
0, 1860 MHz, 6800 MHz, 189.04 W, 64
1, 1875 MHz, 6800 MHz, 211.86 W, 62
2, 1875 MHz, 6800 MHz, 214.74 W, 66
