2, 1860 MHz, 6800 MHz, 224.08 W, 67
3, 1845 MHz, 6800 MHz, 210.58 W, 70
0, 1860 MHz, 6800 MHz, 204.27 W, 66
1, 1875 MHz, 6800 MHz, 219.79 W, 64
2, 1860 MHz, 6800 MHz, 222.90 W, 67
3, 1845 MHz, 6800 MHz, 217.62 W, 70
0, 1860 MHz, 6800 MHz, 196.73 W, 66
1, 1875 MHz, 6800 MHz, 218.69 W, 65
2, 1860 MHz, 6800 MHz, 214.18 W, 67
3, 1845 MHz, 6800 MHz, 207.17 W, 70
0, 1860 MHz, 6800 MHz, 204.72 W, 66
1, 1875 MHz, 6800 MHz, 215.30 W, 65
2, 1860 MHz, 6800 MHz, 215.76 W, 68
3, 1845 MHz, 6800 MHz, 210.40 W, 70
0, 1860 MHz, 6800 MHz, 201.40 W, 67
1, 1875 MHz, 6800 MHz, 218.87 W, 65
2, 1860 MHz, 6800 MHz, 218.25 W, 68
3, 1845 MHz, 6800 MHz, 209.76 W, 71
0, 1860 MHz, 6800 MHz, 195.57 W, 67
1, 1875 MHz, 6800 MHz, 230.42 W, 65
2, 1860 MHz, 6800 MHz, 217.38 W, 68
3, 1845 MHz, 6800 MHz, 220.32 W, 71
0, 1860 MHz, 6800 MHz, 198.27 W, 67
1, 1875 MHz, 6800 MHz, 232.88 W, 66
2, 1860 MHz, 6800 MHz, 213.26 W, 68
3, 1845 MHz, 6800 MHz, 221.94 W, 71
0, 1860 MHz, 6800 MHz, 196.91 W, 67
1, 1875 MHz, 6800 MHz, 215.15 W, 65
2, 1860 MHz, 6800 MHz, 217.27 W, 68
3, 1845 MHz, 6800 MHz, 206.95 W, 71
0, 1860 MHz, 6800 MHz, 203.17 W, 67
1, 1875 MHz, 6800 MHz, 216.50 W, 66
2, 1860 MHz, 6800 MHz, 225.85 W, 69
3, 1830 MHz, 6800 MHz, 211.52 W, 71
0, 1860 MHz, 6800 MHz, 195.72 W, 67
1, 1875 MHz, 6800 MHz, 219.30 W, 66
2, 1860 MHz, 6800 MHz, 217.15 W, 68
3, 1830 MHz, 6800 MHz, 206.56 W, 71
0, 1860 MHz, 6800 MHz, 210.63 W, 69
1, 1875 MHz, 6800 MHz, 224.03 W, 67
2, 1860 MHz, 6800 MHz, 223.07 W, 69
3, 1830 MHz, 6800 MHz, 214.35 W, 72
0, 1860 MHz, 6800 MHz, 96.42 W, 64
1, 1875 MHz, 6800 MHz, 114.40 W, 62
2, 1860 MHz, 6800 MHz, 120.10 W, 65
3, 1830 MHz, 6800 MHz, 107.89 W, 67
0, 1860 MHz, 6800 MHz, 188.13 W, 66
1, 1875 MHz, 6800 MHz, 217.13 W, 64
2, 1860 MHz, 6800 MHz, 220.05 W, 68
3, 1845 MHz, 6800 MHz, 194.57 W, 70
0, 1860 MHz, 6800 MHz, 192.77 W, 67
1, 1875 MHz, 6800 MHz, 217.16 W, 65
2, 1860 MHz, 6800 MHz, 212.88 W, 68
3, 1845 MHz, 6800 MHz, 201.23 W, 71
0, 1860 MHz, 6800 MHz, 190.15 W, 67
1, 1875 MHz, 6800 MHz, 213.24 W, 66
2, 1860 MHz, 6800 MHz, 212.26 W, 68
3, 1845 MHz, 6800 MHz, 198.81 W, 71
0, 1860 MHz, 6800 MHz, 189.03 W, 67
1, 1875 MHz, 6800 MHz, 213.80 W, 66
2, 1860 MHz, 6800 MHz, 219.31 W, 69
3, 1845 MHz, 6800 MHz, 209.70 W, 71
0, 1860 MHz, 6800 MHz, 196.60 W, 67
1, 1875 MHz, 6800 MHz, 215.37 W, 66
2, 1860 MHz, 6800 MHz, 219.15 W, 69
3, 1845 MHz, 6800 MHz, 205.59 W, 71
0, 1860 MHz, 6800 MHz, 191.64 W, 67
1, 1875 MHz, 6800 MHz, 221.34 W, 66
2, 1860 MHz, 6800 MHz, 222.13 W, 69
3, 1845 MHz, 6800 MHz, 206.29 W, 71
0, 1860 MHz, 6800 MHz, 196.54 W, 68
1, 1875 MHz, 6800 MHz, 214.62 W, 66
2, 1860 MHz, 6800 MHz, 222.37 W, 69
3, 1845 MHz, 6800 MHz, 207.14 W, 71
0, 1860 MHz, 6800 MHz, 193.16 W, 67
1, 1875 MHz, 6800 MHz, 173.90 W, 64
2, 1860 MHz, 6800 MHz, 201.68 W, 67
3, 1845 MHz, 6800 MHz, 168.04 W, 69
0, 1860 MHz, 6800 MHz, 198.16 W, 68
1, 1875 MHz, 6800 MHz, 220.29 W, 66
2, 1860 MHz, 6800 MHz, 220.43 W, 69
3, 1845 MHz, 6800 MHz, 208.83 W, 72
0, 1860 MHz, 6800 MHz, 128.54 W, 68
1, 1860 MHz, 6800 MHz, 173.55 W, 66
2, 1860 MHz, 6800 MHz, 132.10 W, 69
3, 1830 MHz, 6800 MHz, 157.32 W, 71
0, 1860 MHz, 6800 MHz, 199.16 W, 68
1, 1860 MHz, 6800 MHz, 217.45 W, 66
2, 1860 MHz, 6800 MHz, 216.55 W, 69
3, 1830 MHz, 6800 MHz, 210.14 W, 72
0, 1860 MHz, 6800 MHz, 190.25 W, 68
1, 1875 MHz, 6800 MHz, 211.71 W, 66
2, 1860 MHz, 6800 MHz, 223.32 W, 69
3, 1830 MHz, 6800 MHz, 211.22 W, 71
0, 1860 MHz, 6800 MHz, 199.29 W, 68
1, 1875 MHz, 6800 MHz, 225.22 W, 67
2, 1860 MHz, 6800 MHz, 218.70 W, 69
3, 1830 MHz, 6800 MHz, 203.15 W, 72
0, 1860 MHz, 6800 MHz, 197.33 W, 68
1, 1875 MHz, 6800 MHz, 224.32 W, 66
2, 1860 MHz, 6800 MHz, 222.90 W, 70
3, 1830 MHz, 6800 MHz, 201.88 W, 72
0, 1860 MHz, 6800 MHz, 196.85 W, 68
1, 1875 MHz, 6800 MHz, 221.60 W, 67
2, 1860 MHz, 6800 MHz, 212.47 W, 70
3, 1830 MHz, 6800 MHz, 208.05 W, 72
0, 1860 MHz, 6800 MHz, 198.25 W, 68
1, 1875 MHz, 6800 MHz, 218.95 W, 67
2, 1860 MHz, 6800 MHz, 220.68 W, 70
3, 1830 MHz, 6800 MHz, 207.22 W, 72
0, 1860 MHz, 6800 MHz, 198.74 W, 69
1, 1875 MHz, 6800 MHz, 222.83 W, 67
2, 1860 MHz, 6800 MHz, 219.20 W, 70
3, 1830 MHz, 6800 MHz, 205.07 W, 72
0, 1860 MHz, 6800 MHz, 205.22 W, 69
1, 1875 MHz, 6800 MHz, 218.88 W, 67
2, 1860 MHz, 6800 MHz, 215.74 W, 70
3, 1830 MHz, 6800 MHz, 205.63 W, 72
0, 1860 MHz, 6800 MHz, 199.92 W, 68
1, 1875 MHz, 6800 MHz, 217.97 W, 67
2, 1860 MHz, 6800 MHz, 224.71 W, 70
3, 1830 MHz, 6800 MHz, 211.41 W, 73
0, 1860 MHz, 6800 MHz, 200.82 W, 68
1, 1875 MHz, 6800 MHz, 229.47 W, 67
2, 1860 MHz, 6800 MHz, 236.16 W, 70
3, 1830 MHz, 6800 MHz, 206.35 W, 73
0, 1845 MHz, 6800 MHz, 196.72 W, 69
1, 1860 MHz, 6800 MHz, 217.00 W, 67
2, 1860 MHz, 6800 MHz, 226.33 W, 71
3, 1830 MHz, 6800 MHz, 218.39 W, 73
