0, 1890 MHz, 6800 MHz, 86.31 W, 55
1, 1350 MHz, 6800 MHz, 75.25 W, 50
2, 1350 MHz, 6800 MHz, 109.04 W, 55
3, 1350 MHz, 6800 MHz, 71.80 W, 56
0, 1890 MHz, 6800 MHz, 174.33 W, 57
1, 1905 MHz, 6800 MHz, 185.59 W, 54
2, 1890 MHz, 6800 MHz, 124.46 W, 57
3, 1860 MHz, 6800 MHz, 144.26 W, 60
0, 1890 MHz, 6800 MHz, 187.24 W, 59
1, 1890 MHz, 6800 MHz, 201.46 W, 56
2, 1890 MHz, 6800 MHz, 205.16 W, 60
3, 1860 MHz, 6800 MHz, 195.42 W, 62
0, 1875 MHz, 6800 MHz, 98.72 W, 57
1, 1890 MHz, 6800 MHz, 116.81 W, 54
2, 1875 MHz, 6800 MHz, 119.81 W, 58
3, 1860 MHz, 6800 MHz, 110.26 W, 60
0, 1875 MHz, 6800 MHz, 87.21 W, 56
1, 1890 MHz, 6800 MHz, 105.77 W, 53
2, 1875 MHz, 6800 MHz, 107.32 W, 57
3, 1860 MHz, 6800 MHz, 95.84 W, 59
0, 1875 MHz, 6800 MHz, 143.60 W, 58
1, 1890 MHz, 6800 MHz, 157.45 W, 55
2, 1875 MHz, 6800 MHz, 161.71 W, 59
3, 1860 MHz, 6800 MHz, 154.58 W, 62
0, 1875 MHz, 6800 MHz, 144.03 W, 59
1, 1890 MHz, 6800 MHz, 158.43 W, 56
2, 1875 MHz, 6800 MHz, 161.98 W, 59
3, 1860 MHz, 6800 MHz, 156.39 W, 62
0, 1875 MHz, 6800 MHz, 144.59 W, 59
1, 1890 MHz, 6800 MHz, 159.51 W, 56
2, 1875 MHz, 6800 MHz, 163.80 W, 60
3, 1860 MHz, 6800 MHz, 154.37 W, 62
0, 1875 MHz, 6800 MHz, 151.72 W, 60
1, 1890 MHz, 6800 MHz, 164.76 W, 57
2, 1875 MHz, 6800 MHz, 170.16 W, 60
3, 1860 MHz, 6800 MHz, 159.74 W, 62
0, 1875 MHz, 6800 MHz, 147.38 W, 60
1, 1890 MHz, 6800 MHz, 162.06 W, 57
2, 1875 MHz, 6800 MHz, 165.83 W, 60
3, 1860 MHz, 6800 MHz, 156.71 W, 63
0, 1875 MHz, 6800 MHz, 88.54 W, 57
1, 1890 MHz, 6800 MHz, 106.41 W, 55
2, 1875 MHz, 6800 MHz, 109.28 W, 58
3, 1860 MHz, 6800 MHz, 97.74 W, 60
0, 1875 MHz, 6800 MHz, 135.68 W, 59
1, 1890 MHz, 6800 MHz, 122.31 W, 56
2, 1875 MHz, 6800 MHz, 124.15 W, 60
3, 1860 MHz, 6800 MHz, 145.45 W, 62
0, 1875 MHz, 6800 MHz, 148.56 W, 59
1, 1890 MHz, 6800 MHz, 183.74 W, 57
2, 1875 MHz, 6800 MHz, 187.09 W, 60
3, 1860 MHz, 6800 MHz, 146.59 W, 63
0, 1875 MHz, 6800 MHz, 190.15 W, 61
