0, 1875 MHz, 6800 MHz, 85.32 W, 55
1, 1905 MHz, 6800 MHz, 105.12 W, 52
2, 1890 MHz, 6800 MHz, 107.65 W, 56
3, 1860 MHz, 6800 MHz, 94.54 W, 58
0, 1875 MHz, 6800 MHz, 192.99 W, 58
1, 1905 MHz, 6800 MHz, 209.48 W, 54
2, 1890 MHz, 6800 MHz, 134.39 W, 58
3, 1860 MHz, 6800 MHz, 207.07 W, 61
0, 1875 MHz, 6800 MHz, 207.05 W, 59
1, 1890 MHz, 6800 MHz, 205.17 W, 56
2, 1875 MHz, 6800 MHz, 234.08 W, 59
3, 1860 MHz, 6800 MHz, 181.08 W, 62
0, 1875 MHz, 6800 MHz, 86.18 W, 56
1, 1890 MHz, 6800 MHz, 106.07 W, 53
2, 1875 MHz, 6800 MHz, 108.85 W, 57
3, 1860 MHz, 6800 MHz, 95.08 W, 59
0, 1875 MHz, 6800 MHz, 194.42 W, 60
1, 1890 MHz, 6800 MHz, 206.37 W, 57
2, 1875 MHz, 6800 MHz, 212.89 W, 61
3, 1860 MHz, 6800 MHz, 200.30 W, 63
0, 1875 MHz, 6800 MHz, 199.74 W, 61
1, 1890 MHz, 6800 MHz, 209.02 W, 59
2, 1875 MHz, 6800 MHz, 215.38 W, 62
3, 1860 MHz, 6800 MHz, 203.78 W, 65
0, 1875 MHz, 6800 MHz, 199.92 W, 62
1, 1890 MHz, 6800 MHz, 208.00 W, 59
2, 1875 MHz, 6800 MHz, 215.78 W, 62
3, 1860 MHz, 6800 MHz, 204.76 W, 66
0, 1875 MHz, 6800 MHz, 88.20 W, 58
1, 1890 MHz, 6800 MHz, 106.35 W, 55
2, 1875 MHz, 6800 MHz, 111.35 W, 59
3, 1845 MHz, 6800 MHz, 97.72 W, 61
0, 1875 MHz, 6800 MHz, 206.37 W, 61
1, 1890 MHz, 6800 MHz, 226.11 W, 58
2, 1875 MHz, 6800 MHz, 231.07 W, 62
3, 1860 MHz, 6800 MHz, 218.12 W, 64
0, 1875 MHz, 6800 MHz, 210.79 W, 62
1, 1890 MHz, 6800 MHz, 231.93 W, 60
2, 1875 MHz, 6800 MHz, 237.53 W, 63
3, 1845 MHz, 6800 MHz, 224.00 W, 66
0, 1875 MHz, 6800 MHz, 210.10 W, 61
1, 1875 MHz, 6800 MHz, 209.89 W, 59
2, 1875 MHz, 6800 MHz, 198.61 W, 61
3, 1845 MHz, 6800 MHz, 198.67 W, 64
0, 1860 MHz, 6800 MHz, 148.65 W, 62
1, 1875 MHz, 6800 MHz, 130.88 W, 60
2, 1875 MHz, 6800 MHz, 132.14 W, 63
3, 1845 MHz, 6800 MHz, 112.28 W, 66
0, 1860 MHz, 6800 MHz, 205.73 W, 63
1, 1875 MHz, 6800 MHz, 165.95 W, 61
2, 1875 MHz, 6800 MHz, 200.48 W, 64
3, 1845 MHz, 6800 MHz, 181.94 W, 67
0, 1860 MHz, 6800 MHz, 206.55 W, 63
1, 1875 MHz, 6800 MHz, 228.82 W, 62
2, 1875 MHz, 6800 MHz, 234.32 W, 64
3, 1845 MHz, 6800 MHz, 226.52 W, 68
0, 1860 MHz, 6800 MHz, 207.89 W, 64
1, 1875 MHz, 6800 MHz, 230.49 W, 62
2, 1875 MHz, 6800 MHz, 237.87 W, 65
3, 1845 MHz, 6800 MHz, 228.32 W, 68
0, 1860 MHz, 6800 MHz, 212.14 W, 64
1, 1875 MHz, 6800 MHz, 232.58 W, 62
2, 1875 MHz, 6800 MHz, 238.31 W, 65
3, 1845 MHz, 6800 MHz, 230.82 W, 68
0, 1860 MHz, 6800 MHz, 183.93 W, 63
1, 1875 MHz, 6800 MHz, 231.89 W, 61
2, 1875 MHz, 6800 MHz, 227.22 W, 64
3, 1845 MHz, 6800 MHz, 225.04 W, 67
0, 1860 MHz, 6800 MHz, 137.91 W, 63
1, 1875 MHz, 6800 MHz, 200.27 W, 61
2, 1860 MHz, 6800 MHz, 172.95 W, 64
3, 1845 MHz, 6800 MHz, 176.24 W, 67
0, 1860 MHz, 6800 MHz, 110.35 W, 64
1, 1875 MHz, 6800 MHz, 198.84 W, 62
2, 1860 MHz, 6800 MHz, 128.45 W, 65
3, 1845 MHz, 6800 MHz, 215.49 W, 68
0, 1860 MHz, 6800 MHz, 145.66 W, 65
1, 1875 MHz, 6800 MHz, 230.90 W, 63
2, 1860 MHz, 6800 MHz, 234.54 W, 66
3, 1845 MHz, 6800 MHz, 230.57 W, 69
0, 1860 MHz, 6800 MHz, 214.69 W, 65
1, 1875 MHz, 6800 MHz, 234.46 W, 64
2, 1860 MHz, 6800 MHz, 235.68 W, 66
3, 1845 MHz, 6800 MHz, 227.84 W, 70
0, 1860 MHz, 6800 MHz, 210.54 W, 65
1, 1875 MHz, 6800 MHz, 234.64 W, 64
2, 1860 MHz, 6800 MHz, 237.69 W, 67
3, 1845 MHz, 6800 MHz, 230.78 W, 70
0, 1860 MHz, 6800 MHz, 212.90 W, 66
1, 1875 MHz, 6800 MHz, 236.57 W, 64
2, 1860 MHz, 6800 MHz, 239.71 W, 67
3, 1845 MHz, 6800 MHz, 230.94 W, 71
0, 1860 MHz, 6800 MHz, 213.02 W, 66
1, 1875 MHz, 6800 MHz, 236.39 W, 65
2, 1860 MHz, 6800 MHz, 237.95 W, 67
3, 1830 MHz, 6800 MHz, 223.56 W, 70
0, 1860 MHz, 6800 MHz, 212.75 W, 67
1, 1875 MHz, 6800 MHz, 236.75 W, 65
2, 1860 MHz, 6800 MHz, 241.51 W, 68
3, 1830 MHz, 6800 MHz, 228.79 W, 71
0, 1860 MHz, 6800 MHz, 184.86 W, 66
1, 1875 MHz, 6800 MHz, 215.47 W, 65
2, 1860 MHz, 6800 MHz, 203.11 W, 67
3, 1830 MHz, 6800 MHz, 191.26 W, 70
0, 1860 MHz, 6800 MHz, 213.57 W, 67
1, 1875 MHz, 6800 MHz, 235.02 W, 66
2, 1860 MHz, 6800 MHz, 241.34 W, 68
3, 1830 MHz, 6800 MHz, 228.80 W, 71
0, 1860 MHz, 6800 MHz, 216.36 W, 67
1, 1875 MHz, 6800 MHz, 243.90 W, 66
2, 1860 MHz, 6800 MHz, 240.55 W, 69
3, 1830 MHz, 6800 MHz, 227.40 W, 72
0, 1860 MHz, 6800 MHz, 215.53 W, 67
1, 1875 MHz, 6800 MHz, 245.45 W, 67
2, 1860 MHz, 6800 MHz, 242.11 W, 69
3, 1830 MHz, 6800 MHz, 229.87 W, 72
0, 1860 MHz, 6800 MHz, 216.55 W, 67
1, 1875 MHz, 6800 MHz, 195.80 W, 66
2, 1860 MHz, 6800 MHz, 195.72 W, 69
3, 1830 MHz, 6800 MHz, 175.43 W, 71
0, 1860 MHz, 6800 MHz, 216.13 W, 68
1, 1875 MHz, 6800 MHz, 247.87 W, 67
2, 1860 MHz, 6800 MHz, 243.82 W, 69
3, 1830 MHz, 6800 MHz, 230.78 W, 72
0, 1845 MHz, 6800 MHz, 213.73 W, 68
1, 1875 MHz, 6800 MHz, 247.23 W, 67
2, 1860 MHz, 6800 MHz, 243.60 W, 69
3, 1830 MHz, 6800 MHz, 231.95 W, 72
0, 1845 MHz, 6800 MHz, 213.55 W, 68
1, 1875 MHz, 6800 MHz, 248.11 W, 68
2, 1860 MHz, 6800 MHz, 243.05 W, 70
3, 1830 MHz, 6800 MHz, 231.66 W, 73
0, 1845 MHz, 6800 MHz, 213.40 W, 68
1, 1875 MHz, 6800 MHz, 244.29 W, 67
2, 1860 MHz, 6800 MHz, 244.66 W, 69
3, 1830 MHz, 6800 MHz, 231.57 W, 72
0, 1845 MHz, 6800 MHz, 214.75 W, 68
1, 1875 MHz, 6800 MHz, 200.11 W, 67
2, 1860 MHz, 6800 MHz, 196.04 W, 70
3, 1830 MHz, 6800 MHz, 185.19 W, 72
0, 1845 MHz, 6800 MHz, 211.75 W, 68
1, 1875 MHz, 6800 MHz, 216.60 W, 68
2, 1860 MHz, 6800 MHz, 237.25 W, 70
3, 1830 MHz, 6800 MHz, 230.57 W, 73
0, 1845 MHz, 6800 MHz, 217.38 W, 69
1, 1860 MHz, 6800 MHz, 252.29 W, 68
2, 1860 MHz, 6800 MHz, 250.40 W, 71
3, 1830 MHz, 6800 MHz, 234.94 W, 73
0, 1845 MHz, 6800 MHz, 208.21 W, 69
1, 1875 MHz, 6800 MHz, 228.22 W, 68
2, 1860 MHz, 6800 MHz, 228.45 W, 70
3, 1830 MHz, 6800 MHz, 213.58 W, 73
0, 1845 MHz, 6800 MHz, 95.01 W, 64
1, 1875 MHz, 6800 MHz, 116.14 W, 63
2, 1860 MHz, 6800 MHz, 121.58 W, 66
3, 1830 MHz, 6800 MHz, 107.46 W, 67
0, 1845 MHz, 6800 MHz, 210.82 W, 67
1, 1875 MHz, 6800 MHz, 208.05 W, 66
2, 1860 MHz, 6800 MHz, 209.59 W, 69
3, 1830 MHz, 6800 MHz, 192.89 W, 71
0, 1845 MHz, 6800 MHz, 209.41 W, 68
1, 1875 MHz, 6800 MHz, 243.79 W, 67
2, 1860 MHz, 6800 MHz, 242.70 W, 70
3, 1830 MHz, 6800 MHz, 228.16 W, 72
0, 1845 MHz, 6800 MHz, 211.57 W, 68
1, 1875 MHz, 6800 MHz, 245.68 W, 67
2, 1860 MHz, 6800 MHz, 243.72 W, 70
3, 1830 MHz, 6800 MHz, 228.94 W, 72
0, 1845 MHz, 6800 MHz, 211.37 W, 68
1, 1875 MHz, 6800 MHz, 243.83 W, 68
2, 1860 MHz, 6800 MHz, 245.02 W, 70
3, 1830 MHz, 6800 MHz, 228.71 W, 73
0, 1845 MHz, 6800 MHz, 213.65 W, 68
1, 1875 MHz, 6800 MHz, 244.09 W, 67
2, 1860 MHz, 6800 MHz, 245.36 W, 69
3, 1830 MHz, 6800 MHz, 229.05 W, 72
0, 1845 MHz, 6800 MHz, 131.61 W, 66
1, 1875 MHz, 6800 MHz, 181.37 W, 65
2, 1860 MHz, 6800 MHz, 150.15 W, 68
3, 1830 MHz, 6800 MHz, 120.86 W, 70
0, 1845 MHz, 6800 MHz, 139.20 W, 67
1, 1875 MHz, 6800 MHz, 133.29 W, 67
2, 1860 MHz, 6800 MHz, 168.08 W, 70
3, 1830 MHz, 6800 MHz, 173.45 W, 72
0, 1845 MHz, 6800 MHz, 188.51 W, 68
1, 1875 MHz, 6800 MHz, 187.32 W, 67
2, 1860 MHz, 6800 MHz, 221.39 W, 70
3, 1830 MHz, 6800 MHz, 225.01 W, 72
0, 1845 MHz, 6800 MHz, 211.01 W, 68
1, 1875 MHz, 6800 MHz, 245.35 W, 68
2, 1860 MHz, 6800 MHz, 245.97 W, 71
3, 1830 MHz, 6800 MHz, 227.43 W, 73
0, 1845 MHz, 6800 MHz, 212.46 W, 69
1, 1875 MHz, 6800 MHz, 246.98 W, 68
2, 1860 MHz, 6800 MHz, 247.30 W, 71
3, 1830 MHz, 6800 MHz, 229.33 W, 73
0, 1845 MHz, 6800 MHz, 214.04 W, 69
1, 1875 MHz, 6800 MHz, 246.10 W, 68
2, 1860 MHz, 6800 MHz, 248.74 W, 71
3, 1830 MHz, 6800 MHz, 230.58 W, 73
0, 1845 MHz, 6800 MHz, 212.40 W, 69
1, 1875 MHz, 6800 MHz, 245.71 W, 68
2, 1845 MHz, 6800 MHz, 250.22 W, 71
3, 1830 MHz, 6800 MHz, 231.14 W, 73
0, 1845 MHz, 6800 MHz, 214.95 W, 69
1, 1875 MHz, 6800 MHz, 247.34 W, 69
2, 1860 MHz, 6800 MHz, 249.19 W, 71
3, 1830 MHz, 6800 MHz, 230.98 W, 73
0, 1845 MHz, 6800 MHz, 213.69 W, 68
1, 1875 MHz, 6800 MHz, 242.03 W, 68
2, 1860 MHz, 6800 MHz, 241.60 W, 70
3, 1830 MHz, 6800 MHz, 232.27 W, 72
0, 1845 MHz, 6800 MHz, 214.01 W, 68
1, 1875 MHz, 6800 MHz, 225.09 W, 67
2, 1860 MHz, 6800 MHz, 197.82 W, 70
3, 1830 MHz, 6800 MHz, 232.25 W, 72
0, 1845 MHz, 6800 MHz, 211.34 W, 69
1, 1875 MHz, 6800 MHz, 213.34 W, 69
2, 1860 MHz, 6800 MHz, 251.44 W, 72
3, 1830 MHz, 6800 MHz, 231.23 W, 74
0, 1845 MHz, 6800 MHz, 213.01 W, 69
1, 1875 MHz, 6800 MHz, 250.30 W, 69
2, 1860 MHz, 6800 MHz, 248.43 W, 72
3, 1830 MHz, 6800 MHz, 230.80 W, 74
0, 1845 MHz, 6800 MHz, 215.34 W, 70
1, 1875 MHz, 6800 MHz, 248.96 W, 69
2, 1860 MHz, 6800 MHz, 252.91 W, 72
3, 1830 MHz, 6800 MHz, 232.44 W, 74
0, 1845 MHz, 6800 MHz, 179.68 W, 69
1, 1875 MHz, 6800 MHz, 201.83 W, 69
2, 1860 MHz, 6800 MHz, 203.72 W, 72
3, 1830 MHz, 6800 MHz, 225.52 W, 73
0, 1845 MHz, 6800 MHz, 213.99 W, 70
1, 1875 MHz, 6800 MHz, 248.18 W, 69
2, 1860 MHz, 6800 MHz, 254.04 W, 72
3, 1830 MHz, 6800 MHz, 232.83 W, 74
0, 1845 MHz, 6800 MHz, 215.11 W, 70
1, 1875 MHz, 6800 MHz, 250.25 W, 70
2, 1860 MHz, 6800 MHz, 253.62 W, 73
3, 1830 MHz, 6800 MHz, 233.88 W, 74
0, 1845 MHz, 6800 MHz, 213.05 W, 70
1, 1875 MHz, 6800 MHz, 250.05 W, 70
2, 1860 MHz, 6800 MHz, 253.94 W, 73
3, 1830 MHz, 6800 MHz, 234.35 W, 75
0, 1845 MHz, 6800 MHz, 216.01 W, 69
1, 1875 MHz, 6800 MHz, 217.44 W, 68
2, 1860 MHz, 6800 MHz, 250.90 W, 71
3, 1830 MHz, 6800 MHz, 235.22 W, 73
0, 1845 MHz, 6800 MHz, 188.83 W, 70
1, 1875 MHz, 6800 MHz, 206.31 W, 69
2, 1860 MHz, 6800 MHz, 230.54 W, 72
3, 1830 MHz, 6800 MHz, 190.93 W, 74
0, 1845 MHz, 6800 MHz, 217.19 W, 70
1, 1875 MHz, 6800 MHz, 252.54 W, 70
2, 1860 MHz, 6800 MHz, 253.12 W, 73
3, 1830 MHz, 6800 MHz, 234.68 W, 75
0, 1845 MHz, 6800 MHz, 215.59 W, 70
1, 1875 MHz, 6800 MHz, 251.46 W, 70
2, 1860 MHz, 6800 MHz, 251.93 W, 73
3, 1830 MHz, 6800 MHz, 236.60 W, 75
0, 1845 MHz, 6800 MHz, 215.79 W, 70
1, 1875 MHz, 6800 MHz, 253.96 W, 70
2, 1860 MHz, 6800 MHz, 246.80 W, 73
3, 1830 MHz, 6800 MHz, 235.10 W, 75
0, 1845 MHz, 6800 MHz, 216.97 W, 71
1, 1875 MHz, 6800 MHz, 254.11 W, 70
2, 1860 MHz, 6800 MHz, 254.43 W, 73
3, 1830 MHz, 6800 MHz, 235.40 W, 75
0, 1845 MHz, 6800 MHz, 206.59 W, 71
1, 1875 MHz, 6800 MHz, 228.03 W, 70
2, 1860 MHz, 6800 MHz, 233.03 W, 73
3, 1830 MHz, 6800 MHz, 216.10 W, 75
0, 1845 MHz, 6800 MHz, 211.44 W, 71
1, 1875 MHz, 6800 MHz, 232.44 W, 70
2, 1860 MHz, 6800 MHz, 235.68 W, 73
3, 1830 MHz, 6800 MHz, 216.82 W, 75
0, 1845 MHz, 6800 MHz, 95.17 W, 65
1, 1875 MHz, 6800 MHz, 116.75 W, 64
2, 1860 MHz, 6800 MHz, 123.96 W, 68
3, 1830 MHz, 6800 MHz, 108.97 W, 69
0, 1845 MHz, 6800 MHz, 192.49 W, 69
1, 1875 MHz, 6800 MHz, 230.02 W, 68
2, 1860 MHz, 6800 MHz, 217.62 W, 72
3, 1830 MHz, 6800 MHz, 198.74 W, 73
0, 1845 MHz, 6800 MHz, 214.59 W, 70
1, 1875 MHz, 6800 MHz, 247.99 W, 69
2, 1860 MHz, 6800 MHz, 253.47 W, 73
3, 1830 MHz, 6800 MHz, 235.52 W, 74
0, 1845 MHz, 6800 MHz, 213.79 W, 70
1, 1875 MHz, 6800 MHz, 212.46 W, 69
2, 1860 MHz, 6800 MHz, 251.18 W, 73
3, 1830 MHz, 6800 MHz, 194.33 W, 74
0, 1845 MHz, 6800 MHz, 215.45 W, 70
1, 1875 MHz, 6800 MHz, 250.50 W, 70
2, 1860 MHz, 6800 MHz, 255.65 W, 73
3, 1830 MHz, 6800 MHz, 236.43 W, 75
0, 1845 MHz, 6800 MHz, 183.48 W, 70
1, 1875 MHz, 6800 MHz, 207.09 W, 69
2, 1860 MHz, 6800 MHz, 210.18 W, 73
3, 1830 MHz, 6800 MHz, 235.94 W, 75
