0, 1350 MHz, 6800 MHz, 60.03 W, 52
1, 1350 MHz, 6800 MHz, 74.54 W, 48
2, 1350 MHz, 6800 MHz, 81.40 W, 53
3, 1350 MHz, 6800 MHz, 66.71 W, 55
0, 1455 MHz, 6800 MHz, 115.28 W, 54
1, 1905 MHz, 6800 MHz, 174.15 W, 53
2, 1890 MHz, 6800 MHz, 178.36 W, 58
3, 1860 MHz, 6800 MHz, 173.66 W, 60
0, 1875 MHz, 6800 MHz, 204.69 W, 59
1, 1890 MHz, 6800 MHz, 223.27 W, 56
2, 1890 MHz, 6800 MHz, 226.87 W, 60
3, 1860 MHz, 6800 MHz, 222.23 W, 63
0, 1875 MHz, 6800 MHz, 86.13 W, 55
1, 1890 MHz, 6800 MHz, 105.60 W, 53
2, 1875 MHz, 6800 MHz, 106.51 W, 56
3, 1860 MHz, 6800 MHz, 95.93 W, 59
0, 1875 MHz, 6800 MHz, 181.43 W, 59
1, 1890 MHz, 6800 MHz, 197.17 W, 56
2, 1875 MHz, 6800 MHz, 204.19 W, 60
3, 1860 MHz, 6800 MHz, 198.79 W, 63
0, 1875 MHz, 6800 MHz, 195.78 W, 61
1, 1890 MHz, 6800 MHz, 209.25 W, 58
2, 1875 MHz, 6800 MHz, 216.17 W, 61
3, 1860 MHz, 6800 MHz, 204.68 W, 64
0, 1875 MHz, 6800 MHz, 202.53 W, 62
1, 1890 MHz, 6800 MHz, 208.98 W, 59
2, 1875 MHz, 6800 MHz, 214.16 W, 62
3, 1860 MHz, 6800 MHz, 205.37 W, 65
0, 1875 MHz, 6800 MHz, 88.73 W, 57
1, 1890 MHz, 6800 MHz, 106.19 W, 54
2, 1875 MHz, 6800 MHz, 111.54 W, 58
3, 1860 MHz, 6800 MHz, 97.65 W, 60
0, 1875 MHz, 6800 MHz, 203.85 W, 60
1, 1890 MHz, 6800 MHz, 224.21 W, 57
2, 1875 MHz, 6800 MHz, 224.07 W, 61
3, 1860 MHz, 6800 MHz, 202.63 W, 64
0, 1875 MHz, 6800 MHz, 209.72 W, 62
1, 1890 MHz, 6800 MHz, 227.57 W, 59
2, 1875 MHz, 6800 MHz, 232.12 W, 62
3, 1860 MHz, 6800 MHz, 226.26 W, 66
0, 1875 MHz, 6800 MHz, 213.44 W, 62
1, 1890 MHz, 6800 MHz, 231.23 W, 60
2, 1875 MHz, 6800 MHz, 234.49 W, 63
3, 1860 MHz, 6800 MHz, 227.99 W, 66
0, 1875 MHz, 6800 MHz, 144.00 W, 60
1, 1890 MHz, 6800 MHz, 232.96 W, 58
2, 1875 MHz, 6800 MHz, 202.44 W, 61
3, 1860 MHz, 6800 MHz, 155.94 W, 64
0, 1875 MHz, 6800 MHz, 119.18 W, 62
1, 1875 MHz, 6800 MHz, 158.34 W, 59
2, 1875 MHz, 6800 MHz, 135.10 W, 63
3, 1860 MHz, 6800 MHz, 123.09 W, 66
0, 1875 MHz, 6800 MHz, 193.51 W, 63
1, 1875 MHz, 6800 MHz, 227.63 W, 60
2, 1875 MHz, 6800 MHz, 172.50 W, 64
3, 1845 MHz, 6800 MHz, 205.75 W, 67
0, 1875 MHz, 6800 MHz, 212.45 W, 64
1, 1875 MHz, 6800 MHz, 228.39 W, 61
2, 1875 MHz, 6800 MHz, 236.02 W, 64
3, 1845 MHz, 6800 MHz, 227.72 W, 68
0, 1875 MHz, 6800 MHz, 211.76 W, 64
1, 1875 MHz, 6800 MHz, 228.74 W, 62
2, 1875 MHz, 6800 MHz, 235.65 W, 65
3, 1845 MHz, 6800 MHz, 229.86 W, 68
0, 1875 MHz, 6800 MHz, 215.11 W, 64
1, 1875 MHz, 6800 MHz, 230.91 W, 62
2, 1875 MHz, 6800 MHz, 237.24 W, 65
3, 1845 MHz, 6800 MHz, 231.79 W, 69
0, 1875 MHz, 6800 MHz, 214.01 W, 65
1, 1875 MHz, 6800 MHz, 231.07 W, 62
2, 1875 MHz, 6800 MHz, 237.11 W, 65
3, 1845 MHz, 6800 MHz, 231.09 W, 68
0, 1875 MHz, 6800 MHz, 215.71 W, 63
1, 1875 MHz, 6800 MHz, 181.04 W, 61
2, 1860 MHz, 6800 MHz, 161.79 W, 64
3, 1845 MHz, 6800 MHz, 227.93 W, 67
0, 1875 MHz, 6800 MHz, 207.35 W, 63
1, 1875 MHz, 6800 MHz, 156.97 W, 61
2, 1860 MHz, 6800 MHz, 131.19 W, 64
3, 1845 MHz, 6800 MHz, 201.40 W, 67
0, 1860 MHz, 6800 MHz, 143.04 W, 64
1, 1875 MHz, 6800 MHz, 128.05 W, 62
2, 1860 MHz, 6800 MHz, 140.95 W, 65
3, 1845 MHz, 6800 MHz, 171.79 W, 69
0, 1860 MHz, 6800 MHz, 162.84 W, 65
1, 1875 MHz, 6800 MHz, 125.95 W, 63
2, 1860 MHz, 6800 MHz, 158.69 W, 66
3, 1845 MHz, 6800 MHz, 192.60 W, 69
0, 1860 MHz, 6800 MHz, 179.39 W, 65
1, 1875 MHz, 6800 MHz, 144.88 W, 63
2, 1860 MHz, 6800 MHz, 176.74 W, 66
3, 1845 MHz, 6800 MHz, 207.99 W, 70
0, 1860 MHz, 6800 MHz, 180.78 W, 66
1, 1875 MHz, 6800 MHz, 232.61 W, 64
2, 1860 MHz, 6800 MHz, 181.31 W, 67
3, 1845 MHz, 6800 MHz, 210.04 W, 70
0, 1860 MHz, 6800 MHz, 203.78 W, 66
1, 1875 MHz, 6800 MHz, 236.07 W, 64
2, 1860 MHz, 6800 MHz, 239.83 W, 67
3, 1845 MHz, 6800 MHz, 233.55 W, 71
0, 1860 MHz, 6800 MHz, 216.88 W, 67
1, 1875 MHz, 6800 MHz, 236.37 W, 65
2, 1860 MHz, 6800 MHz, 241.31 W, 68
3, 1845 MHz, 6800 MHz, 237.51 W, 71
0, 1860 MHz, 6800 MHz, 218.80 W, 67
1, 1875 MHz, 6800 MHz, 198.62 W, 65
2, 1860 MHz, 6800 MHz, 241.99 W, 67
3, 1845 MHz, 6800 MHz, 231.07 W, 71
0, 1860 MHz, 6800 MHz, 184.57 W, 67
1, 1875 MHz, 6800 MHz, 238.95 W, 65
2, 1860 MHz, 6800 MHz, 241.08 W, 68
3, 1845 MHz, 6800 MHz, 192.99 W, 72
0, 1860 MHz, 6800 MHz, 216.07 W, 67
1, 1860 MHz, 6800 MHz, 230.93 W, 66
2, 1860 MHz, 6800 MHz, 241.93 W, 69
3, 1845 MHz, 6800 MHz, 238.40 W, 72
0, 1860 MHz, 6800 MHz, 218.07 W, 68
1, 1860 MHz, 6800 MHz, 235.91 W, 66
2, 1860 MHz, 6800 MHz, 242.19 W, 69
3, 1830 MHz, 6800 MHz, 232.76 W, 72
0, 1860 MHz, 6800 MHz, 218.85 W, 67
1, 1860 MHz, 6800 MHz, 236.19 W, 65
2, 1860 MHz, 6800 MHz, 243.08 W, 68
3, 1830 MHz, 6800 MHz, 216.69 W, 71
0, 1860 MHz, 6800 MHz, 178.61 W, 68
1, 1860 MHz, 6800 MHz, 235.85 W, 66
2, 1860 MHz, 6800 MHz, 193.43 W, 69
3, 1830 MHz, 6800 MHz, 182.70 W, 72
0, 1860 MHz, 6800 MHz, 216.51 W, 68
1, 1860 MHz, 6800 MHz, 236.87 W, 66
2, 1860 MHz, 6800 MHz, 244.40 W, 69
3, 1830 MHz, 6800 MHz, 233.21 W, 73
0, 1860 MHz, 6800 MHz, 219.74 W, 69
1, 1860 MHz, 6800 MHz, 237.59 W, 67
2, 1860 MHz, 6800 MHz, 242.83 W, 70
3, 1830 MHz, 6800 MHz, 233.04 W, 73
0, 1860 MHz, 6800 MHz, 220.53 W, 69
1, 1860 MHz, 6800 MHz, 240.38 W, 67
2, 1860 MHz, 6800 MHz, 244.87 W, 70
3, 1830 MHz, 6800 MHz, 235.59 W, 73
0, 1860 MHz, 6800 MHz, 221.65 W, 69
