2, 1860 MHz, 6800 MHz, 239.70 W, 69
3, 1845 MHz, 6800 MHz, 235.09 W, 72
0, 1860 MHz, 6800 MHz, 216.56 W, 68
1, 1875 MHz, 6800 MHz, 237.92 W, 66
2, 1860 MHz, 6800 MHz, 241.20 W, 69
3, 1830 MHz, 6800 MHz, 232.29 W, 72
0, 1860 MHz, 6800 MHz, 216.24 W, 68
1, 1875 MHz, 6800 MHz, 237.65 W, 67
2, 1860 MHz, 6800 MHz, 239.65 W, 69
3, 1830 MHz, 6800 MHz, 233.23 W, 72
0, 1860 MHz, 6800 MHz, 203.31 W, 67
1, 1860 MHz, 6800 MHz, 217.88 W, 66
2, 1860 MHz, 6800 MHz, 219.84 W, 68
3, 1830 MHz, 6800 MHz, 234.76 W, 71
0, 1860 MHz, 6800 MHz, 182.20 W, 68
1, 1860 MHz, 6800 MHz, 191.14 W, 66
2, 1860 MHz, 6800 MHz, 194.55 W, 69
3, 1830 MHz, 6800 MHz, 190.46 W, 72
0, 1860 MHz, 6800 MHz, 219.50 W, 68
1, 1860 MHz, 6800 MHz, 240.58 W, 67
2, 1860 MHz, 6800 MHz, 243.30 W, 70
3, 1830 MHz, 6800 MHz, 235.43 W, 73
0, 1860 MHz, 6800 MHz, 218.04 W, 69
1, 1860 MHz, 6800 MHz, 240.11 W, 67
2, 1860 MHz, 6800 MHz, 244.97 W, 70
3, 1830 MHz, 6800 MHz, 236.40 W, 73
0, 1860 MHz, 6800 MHz, 219.19 W, 69
1, 1860 MHz, 6800 MHz, 240.27 W, 68
2, 1860 MHz, 6800 MHz, 244.18 W, 70
3, 1830 MHz, 6800 MHz, 237.12 W, 73
0, 1860 MHz, 6800 MHz, 221.76 W, 69
1, 1860 MHz, 6800 MHz, 243.71 W, 68
2, 1860 MHz, 6800 MHz, 246.99 W, 70
3, 1830 MHz, 6800 MHz, 236.56 W, 73
0, 1845 MHz, 6800 MHz, 211.19 W, 69
1, 1860 MHz, 6800 MHz, 223.99 W, 68
2, 1860 MHz, 6800 MHz, 230.34 W, 71
3, 1830 MHz, 6800 MHz, 217.91 W, 73
0, 1845 MHz, 6800 MHz, 96.64 W, 65
1, 1860 MHz, 6800 MHz, 113.72 W, 63
2, 1860 MHz, 6800 MHz, 122.69 W, 66
3, 1830 MHz, 6800 MHz, 109.20 W, 68
0, 1860 MHz, 6800 MHz, 197.38 W, 67
1, 1860 MHz, 6800 MHz, 214.35 W, 65
2, 1860 MHz, 6800 MHz, 220.49 W, 69
3, 1845 MHz, 6800 MHz, 225.83 W, 71
0, 1860 MHz, 6800 MHz, 218.64 W, 69
1, 1860 MHz, 6800 MHz, 239.66 W, 67
2, 1860 MHz, 6800 MHz, 241.48 W, 70
3, 1830 MHz, 6800 MHz, 233.15 W, 73
0, 1860 MHz, 6800 MHz, 218.25 W, 67
1, 1860 MHz, 6800 MHz, 163.05 W, 65
2, 1860 MHz, 6800 MHz, 165.99 W, 68
3, 1830 MHz, 6800 MHz, 210.67 W, 70
0, 1860 MHz, 6800 MHz, 139.23 W, 67
1, 1860 MHz, 6800 MHz, 158.27 W, 66
2, 1860 MHz, 6800 MHz, 166.67 W, 69
3, 1830 MHz, 6800 MHz, 131.81 W, 72
0, 1860 MHz, 6800 MHz, 211.95 W, 68
1, 1860 MHz, 6800 MHz, 230.37 W, 67
2, 1860 MHz, 6800 MHz, 243.88 W, 70
3, 1830 MHz, 6800 MHz, 231.66 W, 73
0, 1860 MHz, 6800 MHz, 218.50 W, 69
1, 1860 MHz, 6800 MHz, 238.19 W, 67
2, 1860 MHz, 6800 MHz, 246.69 W, 71
3, 1830 MHz, 6800 MHz, 232.53 W, 73
0, 1860 MHz, 6800 MHz, 218.03 W, 69
1, 1860 MHz, 6800 MHz, 239.53 W, 67
