2, 1860 MHz, 6800 MHz, 217.88 W, 67
3, 1830 MHz, 6800 MHz, 202.00 W, 69
0, 1860 MHz, 6800 MHz, 198.24 W, 66
1, 1875 MHz, 6800 MHz, 216.40 W, 65
2, 1860 MHz, 6800 MHz, 218.39 W, 67
3, 1830 MHz, 6800 MHz, 204.68 W, 69
0, 1860 MHz, 6800 MHz, 197.86 W, 67
1, 1875 MHz, 6800 MHz, 217.46 W, 65
2, 1860 MHz, 6800 MHz, 219.96 W, 68
3, 1830 MHz, 6800 MHz, 205.59 W, 70
0, 1860 MHz, 6800 MHz, 198.73 W, 67
1, 1875 MHz, 6800 MHz, 216.34 W, 65
2, 1860 MHz, 6800 MHz, 220.47 W, 68
3, 1830 MHz, 6800 MHz, 205.06 W, 70
0, 1860 MHz, 6800 MHz, 201.93 W, 67
1, 1875 MHz, 6800 MHz, 219.07 W, 65
2, 1860 MHz, 6800 MHz, 221.96 W, 68
3, 1830 MHz, 6800 MHz, 206.59 W, 70
0, 1860 MHz, 6800 MHz, 202.57 W, 67
1, 1875 MHz, 6800 MHz, 221.78 W, 65
2, 1860 MHz, 6800 MHz, 219.86 W, 68
3, 1830 MHz, 6800 MHz, 207.68 W, 70
0, 1860 MHz, 6800 MHz, 204.26 W, 67
1, 1875 MHz, 6800 MHz, 220.52 W, 65
2, 1860 MHz, 6800 MHz, 222.91 W, 68
3, 1830 MHz, 6800 MHz, 205.81 W, 71
0, 1860 MHz, 6800 MHz, 203.41 W, 68
1, 1875 MHz, 6800 MHz, 218.05 W, 66
2, 1860 MHz, 6800 MHz, 222.52 W, 68
3, 1830 MHz, 6800 MHz, 208.85 W, 71
0, 1860 MHz, 6800 MHz, 204.30 W, 68
1, 1875 MHz, 6800 MHz, 222.28 W, 66
2, 1860 MHz, 6800 MHz, 224.90 W, 69
3, 1830 MHz, 6800 MHz, 207.89 W, 71
0, 1860 MHz, 6800 MHz, 202.20 W, 68
1, 1875 MHz, 6800 MHz, 221.89 W, 66
2, 1860 MHz, 6800 MHz, 223.07 W, 69
3, 1830 MHz, 6800 MHz, 207.85 W, 71
0, 1860 MHz, 6800 MHz, 213.66 W, 68
1, 1860 MHz, 6800 MHz, 218.39 W, 66
2, 1860 MHz, 6800 MHz, 225.14 W, 69
3, 1830 MHz, 6800 MHz, 208.21 W, 71
0, 1860 MHz, 6800 MHz, 209.41 W, 68
1, 1860 MHz, 6800 MHz, 230.33 W, 66
2, 1860 MHz, 6800 MHz, 240.02 W, 69
3, 1830 MHz, 6800 MHz, 212.88 W, 71
0, 1860 MHz, 6800 MHz, 205.01 W, 68
1, 1860 MHz, 6800 MHz, 185.73 W, 66
2, 1860 MHz, 6800 MHz, 234.64 W, 69
3, 1830 MHz, 6800 MHz, 211.15 W, 71
0, 1860 MHz, 6800 MHz, 172.69 W, 68
1, 1860 MHz, 6800 MHz, 185.49 W, 66
2, 1860 MHz, 6800 MHz, 184.91 W, 69
3, 1830 MHz, 6800 MHz, 164.68 W, 72
0, 1860 MHz, 6800 MHz, 210.87 W, 70
1, 1860 MHz, 6800 MHz, 217.34 W, 67
2, 1860 MHz, 6800 MHz, 228.57 W, 70
3, 1830 MHz, 6800 MHz, 211.02 W, 72
0, 1860 MHz, 6800 MHz, 96.58 W, 64
1, 1860 MHz, 6800 MHz, 111.17 W, 62
2, 1860 MHz, 6800 MHz, 121.65 W, 66
3, 1830 MHz, 6800 MHz, 107.41 W, 67
0, 1860 MHz, 6800 MHz, 194.28 W, 67
1, 1860 MHz, 6800 MHz, 208.43 W, 64
2, 1860 MHz, 6800 MHz, 219.00 W, 68
3, 1830 MHz, 6800 MHz, 198.80 W, 70
0, 1860 MHz, 6800 MHz, 196.10 W, 68
1, 1860 MHz, 6800 MHz, 211.48 W, 65
2, 1860 MHz, 6800 MHz, 221.20 W, 69
3, 1830 MHz, 6800 MHz, 203.09 W, 71
0, 1860 MHz, 6800 MHz, 195.97 W, 68
1, 1860 MHz, 6800 MHz, 211.66 W, 65
2, 1860 MHz, 6800 MHz, 219.19 W, 69
3, 1830 MHz, 6800 MHz, 202.94 W, 71
0, 1860 MHz, 6800 MHz, 135.32 W, 67
1, 1860 MHz, 6800 MHz, 210.18 W, 65
2, 1860 MHz, 6800 MHz, 200.54 W, 69
3, 1830 MHz, 6800 MHz, 159.02 W, 71
0, 1860 MHz, 6800 MHz, 122.91 W, 67
1, 1860 MHz, 6800 MHz, 130.53 W, 64
2, 1860 MHz, 6800 MHz, 164.29 W, 68
3, 1830 MHz, 6800 MHz, 148.85 W, 70
0, 1860 MHz, 6800 MHz, 201.81 W, 67
1, 1860 MHz, 6800 MHz, 215.09 W, 65
2, 1860 MHz, 6800 MHz, 223.38 W, 68
3, 1830 MHz, 6800 MHz, 184.89 W, 70
