2, 1860 MHz, 6800 MHz, 213.06 W, 67
3, 1845 MHz, 6800 MHz, 199.36 W, 70
0, 1860 MHz, 6800 MHz, 198.89 W, 66
1, 1875 MHz, 6800 MHz, 227.58 W, 65
2, 1860 MHz, 6800 MHz, 226.23 W, 68
3, 1845 MHz, 6800 MHz, 203.45 W, 70
0, 1860 MHz, 6800 MHz, 199.03 W, 67
1, 1875 MHz, 6800 MHz, 212.42 W, 65
2, 1860 MHz, 6800 MHz, 215.78 W, 68
3, 1845 MHz, 6800 MHz, 201.97 W, 70
0, 1860 MHz, 6800 MHz, 198.35 W, 67
1, 1875 MHz, 6800 MHz, 225.65 W, 65
2, 1860 MHz, 6800 MHz, 228.08 W, 68
3, 1845 MHz, 6800 MHz, 216.35 W, 70
0, 1860 MHz, 6800 MHz, 196.54 W, 67
1, 1875 MHz, 6800 MHz, 223.13 W, 65
2, 1860 MHz, 6800 MHz, 221.77 W, 68
3, 1845 MHz, 6800 MHz, 212.60 W, 71
0, 1860 MHz, 6800 MHz, 207.95 W, 67
1, 1875 MHz, 6800 MHz, 220.60 W, 65
2, 1860 MHz, 6800 MHz, 215.20 W, 68
3, 1845 MHz, 6800 MHz, 215.45 W, 71
0, 1860 MHz, 6800 MHz, 203.74 W, 67
1, 1875 MHz, 6800 MHz, 230.60 W, 66
2, 1860 MHz, 6800 MHz, 221.82 W, 68
3, 1845 MHz, 6800 MHz, 216.37 W, 71
0, 1860 MHz, 6800 MHz, 205.52 W, 67
1, 1875 MHz, 6800 MHz, 215.74 W, 65
2, 1860 MHz, 6800 MHz, 229.38 W, 68
3, 1845 MHz, 6800 MHz, 212.74 W, 71
0, 1860 MHz, 6800 MHz, 199.57 W, 67
1, 1875 MHz, 6800 MHz, 228.59 W, 66
2, 1860 MHz, 6800 MHz, 217.76 W, 69
3, 1845 MHz, 6800 MHz, 215.48 W, 72
0, 1860 MHz, 6800 MHz, 192.67 W, 68
1, 1875 MHz, 6800 MHz, 215.83 W, 66
2, 1860 MHz, 6800 MHz, 217.47 W, 69
3, 1830 MHz, 6800 MHz, 203.45 W, 71
0, 1860 MHz, 6800 MHz, 204.39 W, 68
1, 1875 MHz, 6800 MHz, 223.10 W, 67
2, 1860 MHz, 6800 MHz, 222.21 W, 69
3, 1830 MHz, 6800 MHz, 210.49 W, 72
0, 1860 MHz, 6800 MHz, 98.00 W, 65
1, 1875 MHz, 6800 MHz, 116.33 W, 63
2, 1860 MHz, 6800 MHz, 121.24 W, 66
3, 1830 MHz, 6800 MHz, 109.03 W, 68
0, 1860 MHz, 6800 MHz, 93.25 W, 64
1, 1875 MHz, 6800 MHz, 111.75 W, 62
2, 1860 MHz, 6800 MHz, 118.68 W, 66
3, 1845 MHz, 6800 MHz, 104.64 W, 67
0, 1860 MHz, 6800 MHz, 194.02 W, 67
1, 1875 MHz, 6800 MHz, 217.30 W, 65
2, 1860 MHz, 6800 MHz, 220.00 W, 68
3, 1845 MHz, 6800 MHz, 196.40 W, 70
0, 1860 MHz, 6800 MHz, 198.98 W, 67
1, 1875 MHz, 6800 MHz, 211.27 W, 65
2, 1860 MHz, 6800 MHz, 217.32 W, 68
3, 1845 MHz, 6800 MHz, 198.09 W, 71
0, 1860 MHz, 6800 MHz, 188.34 W, 67
1, 1875 MHz, 6800 MHz, 217.41 W, 66
2, 1860 MHz, 6800 MHz, 218.50 W, 69
3, 1845 MHz, 6800 MHz, 201.30 W, 71
0, 1860 MHz, 6800 MHz, 197.95 W, 67
1, 1875 MHz, 6800 MHz, 218.49 W, 66
2, 1860 MHz, 6800 MHz, 215.85 W, 69
3, 1845 MHz, 6800 MHz, 206.25 W, 71
0, 1860 MHz, 6800 MHz, 194.29 W, 67
1, 1875 MHz, 6800 MHz, 213.56 W, 66
2, 1860 MHz, 6800 MHz, 221.27 W, 69
3, 1845 MHz, 6800 MHz, 209.51 W, 71
0, 1860 MHz, 6800 MHz, 196.88 W, 68
1, 1875 MHz, 6800 MHz, 218.43 W, 66
2, 1860 MHz, 6800 MHz, 215.91 W, 69
3, 1845 MHz, 6800 MHz, 209.70 W, 71
0, 1860 MHz, 6800 MHz, 194.36 W, 68
1, 1875 MHz, 6800 MHz, 220.76 W, 66
2, 1860 MHz, 6800 MHz, 222.03 W, 69
3, 1830 MHz, 6800 MHz, 201.94 W, 71
0, 1860 MHz, 6800 MHz, 192.36 W, 68
1, 1875 MHz, 6800 MHz, 216.63 W, 66
2, 1860 MHz, 6800 MHz, 213.84 W, 69
3, 1830 MHz, 6800 MHz, 200.52 W, 71
0, 1860 MHz, 6800 MHz, 197.45 W, 68
1, 1875 MHz, 6800 MHz, 216.57 W, 66
2, 1860 MHz, 6800 MHz, 215.81 W, 69
3, 1830 MHz, 6800 MHz, 202.80 W, 71
0, 1860 MHz, 6800 MHz, 194.23 W, 68
1, 1875 MHz, 6800 MHz, 210.65 W, 66
