0, 1350 MHz, 6800 MHz, 85.54 W, 54
1, 1350 MHz, 6800 MHz, 75.58 W, 50
2, 1350 MHz, 6800 MHz, 81.68 W, 54
3, 1350 MHz, 6800 MHz, 67.58 W, 55
0, 1890 MHz, 6800 MHz, 160.57 W, 57
1, 1905 MHz, 6800 MHz, 164.54 W, 54
2, 1890 MHz, 6800 MHz, 219.84 W, 59
3, 1860 MHz, 6800 MHz, 163.22 W, 60
0, 1875 MHz, 6800 MHz, 208.44 W, 58
1, 1905 MHz, 6800 MHz, 227.87 W, 56
2, 1890 MHz, 6800 MHz, 232.70 W, 59
3, 1860 MHz, 6800 MHz, 147.40 W, 61
0, 1875 MHz, 6800 MHz, 86.88 W, 56
1, 1905 MHz, 6800 MHz, 106.07 W, 53
2, 1890 MHz, 6800 MHz, 109.10 W, 57
3, 1860 MHz, 6800 MHz, 94.32 W, 58
0, 1875 MHz, 6800 MHz, 144.82 W, 58
1, 1905 MHz, 6800 MHz, 160.37 W, 55
2, 1890 MHz, 6800 MHz, 165.81 W, 59
3, 1860 MHz, 6800 MHz, 151.24 W, 61
0, 1875 MHz, 6800 MHz, 144.34 W, 58
1, 1905 MHz, 6800 MHz, 163.90 W, 56
2, 1890 MHz, 6800 MHz, 172.45 W, 59
3, 1860 MHz, 6800 MHz, 155.91 W, 61
0, 1875 MHz, 6800 MHz, 150.32 W, 59
1, 1905 MHz, 6800 MHz, 164.00 W, 56
2, 1890 MHz, 6800 MHz, 170.20 W, 60
3, 1860 MHz, 6800 MHz, 156.48 W, 62
0, 1875 MHz, 6800 MHz, 149.71 W, 59
1, 1905 MHz, 6800 MHz, 165.34 W, 57
2, 1890 MHz, 6800 MHz, 170.00 W, 60
3, 1860 MHz, 6800 MHz, 152.51 W, 62
0, 1875 MHz, 6800 MHz, 153.51 W, 59
1, 1905 MHz, 6800 MHz, 170.29 W, 57
2, 1890 MHz, 6800 MHz, 173.10 W, 60
3, 1860 MHz, 6800 MHz, 161.17 W, 62
0, 1875 MHz, 6800 MHz, 150.67 W, 59
1, 1905 MHz, 6800 MHz, 164.68 W, 57
2, 1890 MHz, 6800 MHz, 171.28 W, 60
3, 1860 MHz, 6800 MHz, 152.62 W, 62
0, 1875 MHz, 6800 MHz, 86.84 W, 57
1, 1905 MHz, 6800 MHz, 106.41 W, 54
2, 1890 MHz, 6800 MHz, 110.29 W, 58
3, 1860 MHz, 6800 MHz, 95.91 W, 59
0, 1875 MHz, 6800 MHz, 205.58 W, 61
1, 1890 MHz, 6800 MHz, 230.36 W, 59
2, 1875 MHz, 6800 MHz, 230.07 W, 62
3, 1860 MHz, 6800 MHz, 220.68 W, 65
0, 1875 MHz, 6800 MHz, 210.68 W, 62
1, 1890 MHz, 6800 MHz, 230.51 W, 60
2, 1875 MHz, 6800 MHz, 231.58 W, 63
3, 1860 MHz, 6800 MHz, 222.01 W, 66
0, 1875 MHz, 6800 MHz, 203.44 W, 61
1, 1890 MHz, 6800 MHz, 215.46 W, 59
2, 1875 MHz, 6800 MHz, 222.30 W, 61
3, 1860 MHz, 6800 MHz, 226.26 W, 64
0, 1875 MHz, 6800 MHz, 134.25 W, 61
1, 1890 MHz, 6800 MHz, 142.11 W, 60
2, 1875 MHz, 6800 MHz, 154.35 W, 62
3, 1845 MHz, 6800 MHz, 163.53 W, 65
0, 1875 MHz, 6800 MHz, 129.83 W, 62
1, 1890 MHz, 6800 MHz, 156.05 W, 61
2, 1875 MHz, 6800 MHz, 150.21 W, 63
3, 1845 MHz, 6800 MHz, 222.56 W, 66
0, 1875 MHz, 6800 MHz, 212.07 W, 63
1, 1890 MHz, 6800 MHz, 232.80 W, 62
2, 1875 MHz, 6800 MHz, 235.71 W, 64
3, 1845 MHz, 6800 MHz, 224.72 W, 67
0, 1875 MHz, 6800 MHz, 211.58 W, 64
1, 1890 MHz, 6800 MHz, 236.44 W, 63
2, 1875 MHz, 6800 MHz, 235.93 W, 65
3, 1845 MHz, 6800 MHz, 227.43 W, 68
0, 1860 MHz, 6800 MHz, 211.18 W, 63
1, 1890 MHz, 6800 MHz, 224.85 W, 61
2, 1875 MHz, 6800 MHz, 237.72 W, 63
3, 1845 MHz, 6800 MHz, 227.37 W, 66
0, 1860 MHz, 6800 MHz, 202.62 W, 62
1, 1875 MHz, 6800 MHz, 203.36 W, 61
2, 1875 MHz, 6800 MHz, 225.27 W, 63
3, 1845 MHz, 6800 MHz, 225.98 W, 66
0, 1860 MHz, 6800 MHz, 188.03 W, 62
1, 1875 MHz, 6800 MHz, 194.07 W, 61
2, 1875 MHz, 6800 MHz, 211.47 W, 63
3, 1845 MHz, 6800 MHz, 208.64 W, 66
0, 1860 MHz, 6800 MHz, 162.69 W, 63
1, 1875 MHz, 6800 MHz, 165.71 W, 62
2, 1875 MHz, 6800 MHz, 186.43 W, 65
3, 1845 MHz, 6800 MHz, 179.41 W, 67
0, 1860 MHz, 6800 MHz, 138.47 W, 64
1, 1875 MHz, 6800 MHz, 140.54 W, 63
2, 1875 MHz, 6800 MHz, 203.16 W, 65
3, 1845 MHz, 6800 MHz, 194.90 W, 68
0, 1860 MHz, 6800 MHz, 206.92 W, 65
1, 1875 MHz, 6800 MHz, 233.14 W, 63
2, 1875 MHz, 6800 MHz, 224.81 W, 66
3, 1845 MHz, 6800 MHz, 218.52 W, 69
0, 1860 MHz, 6800 MHz, 212.35 W, 65
1, 1875 MHz, 6800 MHz, 234.66 W, 64
2, 1875 MHz, 6800 MHz, 237.52 W, 66
3, 1845 MHz, 6800 MHz, 226.42 W, 69
0, 1860 MHz, 6800 MHz, 212.73 W, 65
1, 1875 MHz, 6800 MHz, 236.30 W, 64
2, 1860 MHz, 6800 MHz, 233.54 W, 67
3, 1845 MHz, 6800 MHz, 229.90 W, 70
0, 1860 MHz, 6800 MHz, 178.24 W, 65
1, 1875 MHz, 6800 MHz, 214.88 W, 64
2, 1860 MHz, 6800 MHz, 199.21 W, 67
3, 1845 MHz, 6800 MHz, 194.49 W, 70
0, 1860 MHz, 6800 MHz, 214.70 W, 66
1, 1875 MHz, 6800 MHz, 239.54 W, 65
2, 1860 MHz, 6800 MHz, 240.70 W, 68
3, 1845 MHz, 6800 MHz, 232.50 W, 71
0, 1860 MHz, 6800 MHz, 215.47 W, 67
1, 1875 MHz, 6800 MHz, 240.86 W, 66
2, 1860 MHz, 6800 MHz, 238.81 W, 68
3, 1845 MHz, 6800 MHz, 233.27 W, 71
0, 1860 MHz, 6800 MHz, 179.90 W, 66
1, 1875 MHz, 6800 MHz, 196.06 W, 65
2, 1860 MHz, 6800 MHz, 194.97 W, 68
3, 1845 MHz, 6800 MHz, 187.32 W, 71
0, 1860 MHz, 6800 MHz, 217.69 W, 67
1, 1875 MHz, 6800 MHz, 241.22 W, 66
2, 1860 MHz, 6800 MHz, 240.58 W, 68
3, 1845 MHz, 6800 MHz, 234.73 W, 72
0, 1860 MHz, 6800 MHz, 217.19 W, 67
1, 1875 MHz, 6800 MHz, 242.92 W, 66
2, 1860 MHz, 6800 MHz, 242.33 W, 69
3, 1830 MHz, 6800 MHz, 230.69 W, 72
0, 1860 MHz, 6800 MHz, 219.26 W, 68
1, 1875 MHz, 6800 MHz, 242.50 W, 67
2, 1860 MHz, 6800 MHz, 242.60 W, 69
3, 1830 MHz, 6800 MHz, 228.07 W, 72
0, 1860 MHz, 6800 MHz, 182.91 W, 67
1, 1875 MHz, 6800 MHz, 196.08 W, 66
2, 1860 MHz, 6800 MHz, 195.23 W, 69
3, 1830 MHz, 6800 MHz, 185.90 W, 71
0, 1860 MHz, 6800 MHz, 216.58 W, 68
1, 1875 MHz, 6800 MHz, 243.16 W, 67
2, 1860 MHz, 6800 MHz, 240.00 W, 69
3, 1830 MHz, 6800 MHz, 231.17 W, 72
0, 1860 MHz, 6800 MHz, 219.82 W, 68
1, 1875 MHz, 6800 MHz, 243.56 W, 67
2, 1860 MHz, 6800 MHz, 244.17 W, 69
3, 1830 MHz, 6800 MHz, 233.52 W, 72
0, 1860 MHz, 6800 MHz, 218.62 W, 68
1, 1875 MHz, 6800 MHz, 244.73 W, 67
2, 1860 MHz, 6800 MHz, 243.21 W, 70
3, 1830 MHz, 6800 MHz, 233.19 W, 73
0, 1860 MHz, 6800 MHz, 218.81 W, 68
1, 1875 MHz, 6800 MHz, 243.87 W, 68
2, 1860 MHz, 6800 MHz, 244.16 W, 70
3, 1830 MHz, 6800 MHz, 234.18 W, 73
0, 1860 MHz, 6800 MHz, 217.89 W, 68
1, 1875 MHz, 6800 MHz, 241.22 W, 67
2, 1860 MHz, 6800 MHz, 243.65 W, 69
3, 1830 MHz, 6800 MHz, 219.52 W, 71
0, 1845 MHz, 6800 MHz, 176.86 W, 68
1, 1875 MHz, 6800 MHz, 194.39 W, 67
2, 1860 MHz, 6800 MHz, 199.29 W, 69
3, 1830 MHz, 6800 MHz, 184.05 W, 72
0, 1845 MHz, 6800 MHz, 171.97 W, 67
1, 1875 MHz, 6800 MHz, 190.71 W, 66
2, 1860 MHz, 6800 MHz, 193.35 W, 69
3, 1830 MHz, 6800 MHz, 176.55 W, 71
0, 1845 MHz, 6800 MHz, 95.73 W, 64
1, 1875 MHz, 6800 MHz, 113.94 W, 63
2, 1860 MHz, 6800 MHz, 121.51 W, 66
3, 1830 MHz, 6800 MHz, 108.16 W, 67
0, 1860 MHz, 6800 MHz, 156.19 W, 65
1, 1875 MHz, 6800 MHz, 194.64 W, 64
2, 1860 MHz, 6800 MHz, 189.76 W, 67
3, 1845 MHz, 6800 MHz, 198.07 W, 69
0, 1860 MHz, 6800 MHz, 218.64 W, 68
1, 1875 MHz, 6800 MHz, 239.60 W, 67
2, 1860 MHz, 6800 MHz, 244.52 W, 70
3, 1830 MHz, 6800 MHz, 231.08 W, 72
0, 1860 MHz, 6800 MHz, 218.15 W, 68
1, 1875 MHz, 6800 MHz, 240.83 W, 67
2, 1860 MHz, 6800 MHz, 243.34 W, 70
3, 1830 MHz, 6800 MHz, 229.74 W, 72
0, 1860 MHz, 6800 MHz, 216.96 W, 66
1, 1875 MHz, 6800 MHz, 241.71 W, 65
2, 1860 MHz, 6800 MHz, 244.51 W, 67
3, 1830 MHz, 6800 MHz, 210.31 W, 69
0, 1860 MHz, 6800 MHz, 156.55 W, 67
1, 1875 MHz, 6800 MHz, 192.52 W, 66
2, 1860 MHz, 6800 MHz, 190.27 W, 69
3, 1830 MHz, 6800 MHz, 146.97 W, 71
0, 1860 MHz, 6800 MHz, 214.14 W, 68
1, 1875 MHz, 6800 MHz, 239.31 W, 67
2, 1860 MHz, 6800 MHz, 244.01 W, 70
3, 1830 MHz, 6800 MHz, 230.02 W, 72
0, 1860 MHz, 6800 MHz, 216.09 W, 68
1, 1875 MHz, 6800 MHz, 241.42 W, 67
2, 1860 MHz, 6800 MHz, 244.55 W, 70
3, 1830 MHz, 6800 MHz, 230.92 W, 72
0, 1860 MHz, 6800 MHz, 217.54 W, 69
1, 1875 MHz, 6800 MHz, 241.25 W, 68
2, 1860 MHz, 6800 MHz, 246.49 W, 70
3, 1830 MHz, 6800 MHz, 230.19 W, 73
0, 1845 MHz, 6800 MHz, 213.87 W, 69
1, 1875 MHz, 6800 MHz, 242.82 W, 68
2, 1860 MHz, 6800 MHz, 243.98 W, 70
3, 1830 MHz, 6800 MHz, 232.12 W, 73
0, 1845 MHz, 6800 MHz, 215.82 W, 69
1, 1875 MHz, 6800 MHz, 233.89 W, 67
2, 1860 MHz, 6800 MHz, 238.15 W, 70
3, 1830 MHz, 6800 MHz, 233.51 W, 72
0, 1845 MHz, 6800 MHz, 200.45 W, 67
1, 1875 MHz, 6800 MHz, 205.26 W, 66
2, 1860 MHz, 6800 MHz, 209.43 W, 69
3, 1830 MHz, 6800 MHz, 172.29 W, 71
0, 1845 MHz, 6800 MHz, 181.73 W, 67
1, 1875 MHz, 6800 MHz, 183.10 W, 66
2, 1860 MHz, 6800 MHz, 187.01 W, 68
3, 1830 MHz, 6800 MHz, 150.77 W, 70
0, 1845 MHz, 6800 MHz, 160.15 W, 67
1, 1875 MHz, 6800 MHz, 159.78 W, 66
2, 1860 MHz, 6800 MHz, 163.99 W, 69
3, 1830 MHz, 6800 MHz, 126.36 W, 71
0, 1845 MHz, 6800 MHz, 142.43 W, 68
1, 1860 MHz, 6800 MHz, 136.85 W, 67
2, 1860 MHz, 6800 MHz, 146.18 W, 70
3, 1830 MHz, 6800 MHz, 119.28 W, 72
0, 1845 MHz, 6800 MHz, 187.49 W, 68
1, 1860 MHz, 6800 MHz, 134.52 W, 67
2, 1860 MHz, 6800 MHz, 139.92 W, 70
3, 1830 MHz, 6800 MHz, 122.07 W, 72
0, 1845 MHz, 6800 MHz, 215.74 W, 69
1, 1860 MHz, 6800 MHz, 240.17 W, 68
2, 1860 MHz, 6800 MHz, 249.13 W, 71
3, 1830 MHz, 6800 MHz, 231.89 W, 73
0, 1845 MHz, 6800 MHz, 216.29 W, 69
1, 1860 MHz, 6800 MHz, 243.12 W, 68
2, 1860 MHz, 6800 MHz, 247.31 W, 71
3, 1830 MHz, 6800 MHz, 235.21 W, 74
0, 1845 MHz, 6800 MHz, 217.20 W, 69
1, 1860 MHz, 6800 MHz, 244.53 W, 67
2, 1860 MHz, 6800 MHz, 248.23 W, 70
3, 1830 MHz, 6800 MHz, 231.79 W, 72
0, 1845 MHz, 6800 MHz, 186.89 W, 69
1, 1860 MHz, 6800 MHz, 199.16 W, 68
2, 1860 MHz, 6800 MHz, 204.06 W, 71
3, 1830 MHz, 6800 MHz, 189.49 W, 74
0, 1845 MHz, 6800 MHz, 216.85 W, 70
1, 1860 MHz, 6800 MHz, 241.49 W, 69
2, 1860 MHz, 6800 MHz, 248.56 W, 72
3, 1830 MHz, 6800 MHz, 235.06 W, 74
0, 1845 MHz, 6800 MHz, 218.47 W, 70
1, 1860 MHz, 6800 MHz, 243.45 W, 69
2, 1860 MHz, 6800 MHz, 251.12 W, 72
3, 1830 MHz, 6800 MHz, 235.98 W, 74
0, 1845 MHz, 6800 MHz, 217.29 W, 70
1, 1860 MHz, 6800 MHz, 243.78 W, 69
2, 1860 MHz, 6800 MHz, 250.04 W, 72
3, 1830 MHz, 6800 MHz, 236.94 W, 74
0, 1845 MHz, 6800 MHz, 189.10 W, 70
1, 1860 MHz, 6800 MHz, 196.86 W, 68
2, 1845 MHz, 6800 MHz, 205.26 W, 71
3, 1830 MHz, 6800 MHz, 187.23 W, 74
0, 1845 MHz, 6800 MHz, 176.70 W, 70
1, 1860 MHz, 6800 MHz, 232.32 W, 69
2, 1845 MHz, 6800 MHz, 225.37 W, 72
3, 1830 MHz, 6800 MHz, 234.27 W, 74
0, 1845 MHz, 6800 MHz, 217.45 W, 70
1, 1860 MHz, 6800 MHz, 244.49 W, 69
2, 1845 MHz, 6800 MHz, 243.05 W, 72
3, 1830 MHz, 6800 MHz, 236.37 W, 75
0, 1845 MHz, 6800 MHz, 220.08 W, 70
1, 1860 MHz, 6800 MHz, 244.33 W, 69
2, 1845 MHz, 6800 MHz, 247.30 W, 72
3, 1830 MHz, 6800 MHz, 237.85 W, 75
0, 1845 MHz, 6800 MHz, 219.04 W, 70
1, 1860 MHz, 6800 MHz, 245.39 W, 69
2, 1845 MHz, 6800 MHz, 246.11 W, 72
3, 1830 MHz, 6800 MHz, 236.51 W, 75
0, 1845 MHz, 6800 MHz, 221.29 W, 70
1, 1860 MHz, 6800 MHz, 246.47 W, 69
2, 1845 MHz, 6800 MHz, 247.99 W, 71
3, 1830 MHz, 6800 MHz, 235.61 W, 74
0, 1845 MHz, 6800 MHz, 219.64 W, 70
1, 1860 MHz, 6800 MHz, 224.82 W, 69
2, 1845 MHz, 6800 MHz, 232.41 W, 72
3, 1830 MHz, 6800 MHz, 202.00 W, 74
0, 1845 MHz, 6800 MHz, 169.26 W, 69
1, 1860 MHz, 6800 MHz, 184.62 W, 67
2, 1845 MHz, 6800 MHz, 190.84 W, 71
3, 1830 MHz, 6800 MHz, 174.29 W, 73
0, 1845 MHz, 6800 MHz, 158.79 W, 68
1, 1860 MHz, 6800 MHz, 178.34 W, 67
2, 1845 MHz, 6800 MHz, 183.07 W, 70
3, 1830 MHz, 6800 MHz, 169.19 W, 72
0, 1845 MHz, 6800 MHz, 96.99 W, 65
1, 1860 MHz, 6800 MHz, 114.02 W, 63
2, 1860 MHz, 6800 MHz, 122.49 W, 67
3, 1830 MHz, 6800 MHz, 106.78 W, 68
0, 1845 MHz, 6800 MHz, 209.36 W, 68
1, 1875 MHz, 6800 MHz, 233.31 W, 66
2, 1860 MHz, 6800 MHz, 238.79 W, 70
3, 1830 MHz, 6800 MHz, 225.09 W, 71
0, 1845 MHz, 6800 MHz, 217.48 W, 69
1, 1860 MHz, 6800 MHz, 164.20 W, 66
2, 1860 MHz, 6800 MHz, 162.95 W, 69
3, 1830 MHz, 6800 MHz, 133.25 W, 70
0, 1845 MHz, 6800 MHz, 191.54 W, 69
1, 1860 MHz, 6800 MHz, 237.79 W, 68
2, 1860 MHz, 6800 MHz, 249.37 W, 71
3, 1830 MHz, 6800 MHz, 232.44 W, 74
0, 1845 MHz, 6800 MHz, 214.84 W, 70
1, 1860 MHz, 6800 MHz, 240.57 W, 68
2, 1860 MHz, 6800 MHz, 249.03 W, 72
3, 1830 MHz, 6800 MHz, 232.97 W, 74
0, 1845 MHz, 6800 MHz, 214.17 W, 70
1, 1860 MHz, 6800 MHz, 197.87 W, 68
2, 1860 MHz, 6800 MHz, 205.35 W, 72
3, 1830 MHz, 6800 MHz, 192.32 W, 74
0, 1845 MHz, 6800 MHz, 217.20 W, 70
1, 1860 MHz, 6800 MHz, 239.12 W, 69
2, 1860 MHz, 6800 MHz, 250.68 W, 72
3, 1830 MHz, 6800 MHz, 233.62 W, 74
0, 1845 MHz, 6800 MHz, 191.01 W, 70
1, 1860 MHz, 6800 MHz, 200.72 W, 68
2, 1860 MHz, 6800 MHz, 200.23 W, 71
3, 1830 MHz, 6800 MHz, 193.99 W, 74
0, 1845 MHz, 6800 MHz, 215.83 W, 70
1, 1860 MHz, 6800 MHz, 240.15 W, 69
2, 1860 MHz, 6800 MHz, 250.57 W, 72
3, 1830 MHz, 6800 MHz, 234.01 W, 75
0, 1845 MHz, 6800 MHz, 215.07 W, 70
1, 1860 MHz, 6800 MHz, 240.87 W, 69
2, 1845 MHz, 6800 MHz, 245.16 W, 72
