2, 1860 MHz, 6800 MHz, 238.05 W, 68
3, 1830 MHz, 6800 MHz, 230.52 W, 71
0, 1860 MHz, 6800 MHz, 216.90 W, 67
1, 1875 MHz, 6800 MHz, 237.77 W, 65
2, 1860 MHz, 6800 MHz, 240.80 W, 68
3, 1830 MHz, 6800 MHz, 232.27 W, 72
0, 1860 MHz, 6800 MHz, 217.50 W, 67
1, 1875 MHz, 6800 MHz, 194.48 W, 65
2, 1860 MHz, 6800 MHz, 200.67 W, 68
3, 1830 MHz, 6800 MHz, 197.32 W, 71
0, 1860 MHz, 6800 MHz, 217.59 W, 67
1, 1875 MHz, 6800 MHz, 238.36 W, 66
2, 1860 MHz, 6800 MHz, 240.75 W, 69
3, 1830 MHz, 6800 MHz, 210.30 W, 72
0, 1860 MHz, 6800 MHz, 217.71 W, 68
1, 1875 MHz, 6800 MHz, 239.98 W, 66
2, 1860 MHz, 6800 MHz, 242.40 W, 69
3, 1830 MHz, 6800 MHz, 232.05 W, 72
0, 1860 MHz, 6800 MHz, 218.18 W, 68
1, 1860 MHz, 6800 MHz, 239.45 W, 66
2, 1860 MHz, 6800 MHz, 242.91 W, 69
3, 1830 MHz, 6800 MHz, 233.85 W, 73
0, 1860 MHz, 6800 MHz, 220.76 W, 67
1, 1860 MHz, 6800 MHz, 241.35 W, 66
2, 1860 MHz, 6800 MHz, 197.48 W, 68
3, 1830 MHz, 6800 MHz, 223.71 W, 72
0, 1860 MHz, 6800 MHz, 179.87 W, 68
1, 1860 MHz, 6800 MHz, 228.42 W, 66
2, 1860 MHz, 6800 MHz, 206.53 W, 69
3, 1830 MHz, 6800 MHz, 180.86 W, 72
0, 1860 MHz, 6800 MHz, 218.72 W, 69
1, 1860 MHz, 6800 MHz, 239.70 W, 67
2, 1860 MHz, 6800 MHz, 243.72 W, 70
3, 1830 MHz, 6800 MHz, 230.92 W, 73
0, 1860 MHz, 6800 MHz, 217.84 W, 69
1, 1860 MHz, 6800 MHz, 241.24 W, 67
2, 1860 MHz, 6800 MHz, 243.33 W, 70
3, 1830 MHz, 6800 MHz, 234.26 W, 73
0, 1860 MHz, 6800 MHz, 220.64 W, 69
1, 1860 MHz, 6800 MHz, 243.48 W, 67
